	drink_name	ingredient	measurement
0	Cuban Mojito	 white sugar	2 teaspoons
1	Cuban Mojito	 lime, cut into 4 wedges	1
2	Cuban Mojito	 sprigs fresh mint	4
3	Cuban Mojito	 white rum	1/2 cup
4	Cuban Mojito	 club soda	2 cups
5	Cuban Mojito	 crushed ice	2 cups
6	Cuban Mojito	 wedges lime, as garnish	2
7	Mai Tai	 spiced rum	1 (1.5 fluid ounce) jigger
8	Mai Tai	 coconut-flavored rum	1/2 (1.5 fluid ounce) jigger
9	Mai Tai	 grenadine syrup	1 teaspoon
10	Mai Tai	 pineapple juice	3 fluid ounces
11	Mai Tai	 orange juice	2 fluid ounces
12	Mai Tai	 ice cubes	1 cup
13	Mojito Perfecto	 mint leaves	6
14	Mojito Perfecto	 white sugar	4 teaspoons
15	Mojito Perfecto	 lime, cut into 6 wedges	1
16	Mojito Perfecto	 lemon-flavored rum	2 (1.5 fluid ounce) jiggers
17	Mojito Perfecto	 ice cubes, or as needed	1 cup
18	Mojito Perfecto	 carbonated water, or as needed	1/2 cup
19	Caribbean Rum Punch	 fresh lime juice	1 cup
20	Caribbean Rum Punch	 simple syrup	2 cups
21	Caribbean Rum Punch	 amber rum	3 cups
22	Caribbean Rum Punch	 orange juice	4 cups
23	Caribbean Rum Punch	 bitters	4 dashes
24	Caribbean Rum Punch	freshly grated nutmeg	
25	Pina Colada III	 coconut milk	1 cup
26	Pina Colada III	 pineapple juice	1 cup
27	Pina Colada III	 rum	1/2 cup
28	Pina Colada III	 white sugar	4 tablespoons
29	Pina Colada III	 cubes ice	8
30	Dark n Stormy Cocktail	 dark rum	2 fluid ounces
31	Dark n Stormy Cocktail	 ginger beer	4 fluid ounces
32	Dark n Stormy Cocktail	 ice	1/2 cup
33	Absolute Stress	 vodka	1 fluid ounce
34	Absolute Stress	 dark rum	1 fluid ounce
35	Absolute Stress	 peach schnapps	1 fluid ounce
36	Absolute Stress	 orange juice	1 fluid ounce
37	Absolute Stress	 cranberry juice	1 fluid ounce
38	Shaggys Hana Bay Frootie Joy	 rum	4 fluid ounces
39	Shaggys Hana Bay Frootie Joy	 fresh coconut-pineapple juice	1 cup
40	Shaggys Hana Bay Frootie Joy	 cubes ice	4
41	Amaingly Good Eggnog	 milk	4 cups
42	Amaingly Good Eggnog	 whole cloves	5
43	Amaingly Good Eggnog	 vanilla extract	1/2 teaspoon
44	Amaingly Good Eggnog	 ground cinnamon	1 teaspoon
45	Amaingly Good Eggnog	 egg yolks	12
46	Amaingly Good Eggnog	 sugar	1 1/2 cups
47	Amaingly Good Eggnog	 light rum	2 1/2 cups
48	Amaingly Good Eggnog	 light cream	4 cups
49	Amaingly Good Eggnog	 vanilla extract	2 teaspoons
50	Amaingly Good Eggnog	 ground nutmeg	1/2 teaspoon
